Tau,Measure,CLasso,ACLasso,CoCoLasso,ACoCoLasso
tau = 0.75,,,,,
,C,3.00 (0.00),2.97 (0.30),2.94 (0.24),1.10 (0.86)
,IC,13.58 (4.04),219.19 (44.31),0.39 (0.71),134.42 (36.06)
,PE,5.71 (1.14),22398.46 (152089.62),7.03 (1.81),420583.91 (299408.96)
,MSE,4.75 (1.11),19514.37 (131921.33),5.14 (1.87),1199838.98 (811621.83)
tau = 1.25,,,,,
,C,3.00 (0.00),2.77 (0.72),2.73 (0.47),0.52 (0.63)
,IC,92.06 (8.43),206.47 (66.32),1.36 (1.23),48.65 (12.74)
,PE,10.03 (1.78),1382.47 (10565.28),12.54 (2.36),224.00 (1789.59)
,MSE,10.96 (1.45),1184.51 (8929.85),8.34 (1.92),403.12 (3387.79)
