Tau,Measure,CLasso,ACLasso,CoCoLasso,ACoCoLasso
tau = 0.75,,,,,
,C,2.83 (0.40),2.80 (0.68),2.77 (0.45),1.31 (0.88)
,IC,41.50 (4.96),208.70 (53.99),33.41 (4.66),133.91 (42.12)
,PE,4.57 (1.03),23.05 (3.38),4.26 (1.08),355256.66 (270123.65)
,MSE,9.08 (2.07),15.23 (0.03),8.60 (2.45),1077192.47 (791169.64)
tau = 1.25,,,,,
,C,2.62 (0.55),2.74 (0.75),2.17 (0.75),0.62 (0.65)
,IC,53.38 (6.01),209.38 (70.30),19.61 (4.21),52.91 (13.48)
,PE,7.15 (0.98),182.39 (1134.07),7.11 (1.49),6870.80 (53425.63)
,MSE,12.58 (1.57),214.80 (1438.00),11.62 (2.87),12308.82 (95764.68)
