Tau,Measure,CLasso,ACLasso,CoCoLasso,ACoCoLasso
tau = 0.75,,,,,
,C,3.00 (0.00),2.17 (0.97),2.94 (0.24),2.97 (0.17)
,IC,13.58 (4.04),70.57 (80.49),0.39 (0.71),9.37 (2.83)
,PE,5.71 (1.14),7724665.28 (29921484.44),7.03 (1.81),4.45 (1.67)
,MSE,4.75 (1.11),17259859.33 (66649304.22),5.14 (1.87),5.77 (2.35)
tau = 1.25,,,,,
,C,3.00 (0.00),1.83 (1.25),2.73 (0.47),2.29 (0.76)
,IC,92.06 (8.43),105.72 (111.67),1.36 (1.23),0.13 (0.37)
,PE,10.03 (1.78),1510121215.01 (6161465223.98),12.54 (2.36),8.20 (4.02)
,MSE,10.96 (1.45),1935217661.77 (8398079274.11),8.34 (1.92),6.27 (3.26)
