Tau,Measure,CLasso,ACLasso,CoCoLasso,ACoCoLasso
tau = 0.75,,,,,
,C,2.83 (0.40),0.84 (0.91),2.77 (0.45),2.58 (0.57)
,IC,41.50 (4.96),23.28 (36.36),33.41 (4.66),9.61 (2.47)
,PE,4.57 (1.03),764391.05 (7622121.33),4.26 (1.08),4.00 (1.24)
,MSE,9.08 (2.07),1807599.12 (18030034.35),8.60 (2.45),7.29 (2.76)
tau = 1.25,,,,,
,C,2.62 (0.55),1.63 (1.34),2.17 (0.75),1.88 (0.73)
,IC,53.38 (6.01),126.38 (110.60),19.61 (4.21),11.05 (2.19)
,PE,7.15 (0.98),1594326800.07 (4943063654.81),7.11 (1.49),6.71 (1.84)
,MSE,12.58 (1.57),2218677707.82 (6930217502.87),11.62 (2.87),11.99 (3.38)
