Tau,Measure,CLasso,ACLasso,CoCoLasso,ACoCoLasso
tau = 0.25,,,,,
,C,4.01 (0.64),0.01 (0.10),4.11 (0.63),2.82 (0.88)
,IC,52.99 (4.77),0.07 (0.26),46.21 (4.90),0.34 (0.57)
,PE,0.66 (0.12),3.24 (0.52),0.63 (0.13),1.12 (0.29)
,MSE,2.47 (0.46),4.37 (0.15),2.33 (0.45),2.19 (0.58)
tau = 0.50,,,,,
,C,3.04 (0.71),0.38 (0.75),3.68 (0.69),2.51 (0.87)
,IC,6.82 (2.91),9.42 (17.47),49.36 (4.29),0.96 (0.90)
,PE,1.77 (0.21),3.18 (0.61),0.77 (0.14),1.44 (0.34)
,MSE,3.11 (0.40),4.83 (1.11),2.80 (0.48),2.64 (0.65)
