Tau,Measure,CLasso,CoCoLasso,ACoCoLasso,RFACoCoLasso
tau = 0.25,,,,,
,C,4.01 (0.64),3.89 (0.65),2.96 (0.79),0.66 (0.54)
,IC,52.99 (4.77),24.89 (4.51),0.78 (0.81),0.00 (0.00)
,PE,0.66 (0.12),0.74 (0.15),1.04 (0.28),2.59 (0.51)
,MSE,2.47 (0.46),2.24 (0.49),2.13 (0.53),3.86 (0.50)
tau = 0.50,,,,,
,C,3.04 (0.71),3.84 (0.68),2.66 (0.78),0.41 (0.55)
,IC,6.82 (2.91),49.01 (4.27),1.25 (1.10),0.00 (0.00)
,PE,1.77 (0.21),0.79 (0.13),1.33 (0.35),2.95 (0.52)
,MSE,3.11 (0.40),2.85 (0.54),2.52 (0.58),4.10 (0.41)
