Tau,Measure,CLasso,CoCoLasso,ACoCoLasso,XGBoostACoCoLasso
tau = 0.75,,,,,
,C,2.83 (0.40),2.76 (0.47),2.68 (0.51),1.55 (0.73)
,IC,41.50 (4.96),14.94 (3.60),20.37 (3.60),5.50 (1.89)
,PE,4.57 (1.03),4.30 (1.28),6.50 (2.13),6.88 (2.38)
,MSE,9.08 (2.07),7.02 (2.29),12.89 (4.32),10.03 (3.87)
tau = 1.25,,,,,
,C,2.62 (0.55),2.22 (0.75),2.06 (0.75),0.94 (0.76)
,IC,53.38 (6.01),19.53 (3.45),14.39 (2.90),7.27 (1.82)
,PE,7.15 (0.98),7.21 (1.58),7.20 (2.26),10.74 (2.18)
,MSE,12.58 (1.57),11.13 (2.36),13.23 (3.98),13.36 (3.19)
